profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,uczelnia,stanowisko_raw
Anna Rybarczyk-Płońska,dr,adiunkt,Katedra Biochemii i Mikrobiologii,NA,0000-0002-4151-0467,NA,NA,NA,12,12,59.978,14.919,NA,16,WULS2e8c1bd0a7004e518bf762a71abfb42f,https://bw.sggw.edu.pl/info/author/WULS2e8c1bd0a7004e518bf762a71abfb42f?lang=pl&r=publication&tab=main,sggw,Adiunkt
Ewa Sady-Makarewicz,dr inż.,adiunkt,Centrum Medycyny Translacyjnej SGGW,NA,0000-0002-9395-393X,NA,NA,NA,1,1,NA,0.692,NA,11,WULS364ca28e79ea4a9db7e2a2c727ea5f90,https://bw.sggw.edu.pl/info/author/WULS364ca28e79ea4a9db7e2a2c727ea5f90?lang=pl&r=publication&tab=main,sggw,Adiunkt
Stanisław Samborski,dr hab.,profesor uczelni,Katedra Agronomii,NA,0000-0003-1147-5805,NA,NA,NA,11,11,46.233,24.548,NA,65,WULS5d34eaa6627543abb863a6541a74c413,https://bw.sggw.edu.pl/info/author/WULS5d34eaa6627543abb863a6541a74c413?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Leszek Sieczko,dr inż.,adiunkt,Katedra Biometrii,NA,0000-0002-9325-643X,NA,NA,NA,9,8,52.504,18.864,NA,80,WULSa4da368ca7da450fbc92429b42f2aaa0,https://bw.sggw.edu.pl/info/author/WULSa4da368ca7da450fbc92429b42f2aaa0?lang=pl&r=publication&tab=main,sggw,Adiunkt
Dorota Sienkiewicz-Paderewska,dr inż.,adiunkt,Katedra Biometrii,NA,0000-0002-4255-8390,NA,NA,NA,5,4,27.836,6.803,NA,26,WULSfc066fbfac7a4874b5f5c051b6a04268,https://bw.sggw.edu.pl/info/author/WULSfc066fbfac7a4874b5f5c051b6a04268?lang=pl&r=publication&tab=main,sggw,Adiunkt
Piotr Sikorski,dr hab.,profesor uczelni,Katedra Kształtowania Środowiska i Teledetekcji,NA,0000-0002-5611-4731,NA,NA,NA,12,15,119.757,24.431,NA,84,WULS1ad1d178bbf84d80ba045436dc215e0e,https://bw.sggw.edu.pl/info/author/WULS1ad1d178bbf84d80ba045436dc215e0e?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Agnieszka Skarzyńska,dr inż.,adiunkt,"Katedra Genetyki, Hodowli i Biotechnologii Roślin",NA,0000-0003-2301-8679,NA,NA,NA,8,9,66.248,17.825,NA,31,WULSab1869f2fc1e4d8aa120327721d95ef7,https://bw.sggw.edu.pl/info/author/WULSab1869f2fc1e4d8aa120327721d95ef7?lang=pl&r=publication&tab=main,sggw,Adiunkt
Ewa Skutnik,dr hab.,profesor uczelni,Instytut Nauk Ogrodniczych,NA,0000-0002-5788-6426,NA,NA,NA,9,10,65.974,21.192,NA,103,WULS5bde3fc5936f4b48a0e549c6db8e6ec3,https://bw.sggw.edu.pl/info/author/WULS5bde3fc5936f4b48a0e549c6db8e6ec3?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Renata Słomnicka,dr inż.,adiunkt,"Katedra Genetyki, Hodowli i Biotechnologii Roślin",NA,0000-0002-6379-4261,NA,NA,NA,6,6,31.583,6.999,NA,22,WULS177a2e414c814156bd4d03c3455e3840,https://bw.sggw.edu.pl/info/author/WULS177a2e414c814156bd4d03c3455e3840?lang=pl&r=publication&tab=main,sggw,Adiunkt
Dariusz Sochacki,dr hab. inż.,adiunkt,Instytut Nauk Ogrodniczych,NA,0000-0002-9202-1356,NA,NA,NA,3,4,30.075,6.28,NA,47,WULSd46f035c2dfd4752b086abdf2f1e4659,https://bw.sggw.edu.pl/info/author/WULSd46f035c2dfd4752b086abdf2f1e4659?lang=pl&r=publication&tab=main,sggw,Adiunkt
Tomasz Sosulski,dr hab. inż.,profesor uczelni,Instytut Rolnictwa,NA,0000-0001-6364-571X,NA,NA,NA,15,16,81.974,32.391,NA,70,WULS45c800f3cedc48a48e6506594eaad132,https://bw.sggw.edu.pl/info/author/WULS45c800f3cedc48a48e6506594eaad132?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Dagmara Stangierska-Mazurkiewicz,dr inż.,adiunkt,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0002-8104-0527,NA,NA,NA,7,9,58.81,10.782,NA,65,WULS364ce8d2ee3f4df4b31783d24771fadc,https://bw.sggw.edu.pl/info/author/WULS364ce8d2ee3f4df4b31783d24771fadc?lang=pl&r=publication&tab=main,sggw,Adiunkt
Marta Stankiewicz-Kosyl,dr hab. inż.,adiunkt,Katedra Ochrony Roślin,NA,0000-0002-6209-7843,NA,NA,NA,12,11,60.134,23.06,NA,36,WULSca0853a3ab014c678e539b6b03cab9dd,https://bw.sggw.edu.pl/info/author/WULSca0853a3ab014c678e539b6b03cab9dd?lang=pl&r=publication&tab=main,sggw,Adiunkt
Paweł Staszek,dr,adiunkt,Katedra Botaniki i Fizjologii Roslin,NA,0000-0001-8532-5151,NA,NA,NA,12,12,93.601,16.338,NA,27,WULS5562b3b8155b459b95dd68a1e019c5b4,https://bw.sggw.edu.pl/info/author/WULS5562b3b8155b459b95dd68a1e019c5b4?lang=pl&r=publication&tab=main,sggw,Adiunkt
Marcin Studnicki,dr hab. inż.,profesor uczelni,Katedra Biometrii,NA,0000-0001-9773-7313,NA,NA,NA,16,16,261.413,63.177,NA,142,WULS6017c24d71ea4516bcbeed974bcbe35c,https://bw.sggw.edu.pl/info/author/WULS6017c24d71ea4516bcbeed974bcbe35c?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Sylwia Styczyńska,dr inż.,adiunkt,Katedra Roślin Warzywnych i Leczniczych,NA,0000-0002-0506-3401,NA,NA,NA,3,3,10.707,0.914,NA,3,WULS6b32cbc184734d9386bbc6ff9b249022,https://bw.sggw.edu.pl/info/author/WULS6b32cbc184734d9386bbc6ff9b249022?lang=pl&r=publication&tab=main,sggw,Adiunkt
Marzena Suchocka,dr hab. inż.,profesor uczelni,Katedra Architektury Krajobrazu,NA,0000-0002-0759-5348,NA,NA,NA,10,11,68.145,19.384,NA,96,WULS959046ab966e41189655649756ca2d96,https://bw.sggw.edu.pl/info/author/WULS959046ab966e41189655649756ca2d96?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Irena Suwara,dr hab. inż.,profesor uczelni,Katedra Agronomii,Wydziału Rolnictwa i Ekologii Katedra Agronomii Instytut Rolnictwa,0000-0001-8754-1552,NA,NA,NA,8,9,33.837,11.292,NA,30,WULS4725ea3e169341de91a2461d7ae51752,https://bw.sggw.edu.pl/info/author/WULS4725ea3e169341de91a2461d7ae51752?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Tatiana Swoczyna,dr inż.,adiunkt,Katedra Ochrony Środowiska i Dendrologii,NA,0000-0002-4319-9158,NA,NA,NA,7,7,38.861,11.8,NA,33,WULS8113e88fb6154b6da24c4e5b90eae3d0,https://bw.sggw.edu.pl/info/author/WULS8113e88fb6154b6da24c4e5b90eae3d0?lang=pl&r=publication&tab=main,sggw,Adiunkt
Ewa Szara,dr hab. inż.,adiunkt,Instytut Rolnictwa,NA,0000-0002-4279-5302,NA,NA,NA,14,16,80.122,35.008,NA,60,WULSedc2c65ff676473090a757322315eba6,https://bw.sggw.edu.pl/info/author/WULSedc2c65ff676473090a757322315eba6?lang=pl&r=publication&tab=main,sggw,Adiunkt
Ewa Szpadzik,dr,adiunkt,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0002-3144-0573,NA,NA,NA,4,5,32.239,7.26,NA,35,WULSb092ab3dfc0d423b8411db6eba8f408f,https://bw.sggw.edu.pl/info/author/WULSb092ab3dfc0d423b8411db6eba8f408f?lang=pl&r=publication&tab=main,sggw,Adiunkt
Wiesław Szulc,prof. dr hab. inż.,profesor,Instytut Rolnictwa,NA,0000-0001-8505-0514,NA,NA,NA,16,18,181.455,53.123,NA,140,WULS712ba46675ae40e59a12809316b64444,https://bw.sggw.edu.pl/info/author/WULS712ba46675ae40e59a12809316b64444?lang=pl&r=publication&tab=main,sggw,Profesor
Magdalena Szymańska,dr hab. inż.,profesor uczelni,Instytut Rolnictwa,NA,0000-0002-1302-6950,NA,NA,NA,14,15,79.486,28.467,NA,89,WULS8c41a377214f4a5e814365f6c306aee1,https://bw.sggw.edu.pl/info/author/WULS8c41a377214f4a5e814365f6c306aee1?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Kazimierz Tomala,prof. dr hab. inż.,profesor,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,"Wydziału Ogrodniczego SGGW (1980), doktor nauk rolniczych (1987), doktor habilitowany nauk rolniczych w zakresie ogrodnictwa – sadownictwa (1996),",0000-0002-2715-1074,NA,NA,NA,14,14,58.981,24.579,NA,422,WULS4548de68d0b9440f8bb1b3a532bab2be,https://bw.sggw.edu.pl/info/author/WULS4548de68d0b9440f8bb1b3a532bab2be?lang=pl&r=publication&tab=main,sggw,Profesor
Łukasz Uzarowicz,dr hab.,profesor uczelni,Katedra Gleboznawstwa,NA,0000-0002-7982-404X,NA,NA,NA,18,18,134.89,37.002,NA,53,WULSddc8f0d099364d3784fb67fcbd79912a,https://bw.sggw.edu.pl/info/author/WULSddc8f0d099364d3784fb67fcbd79912a?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Wojciech Wakuliński,prof. dr hab.,profesor,Katedra Ochrony Roślin,NA,0000-0002-6441-4590,NA,NA,NA,6,6,53.152,16.452,NA,57,WULSb402c5a21ec045ffb7d761ebac1e0dd3,https://bw.sggw.edu.pl/info/author/WULSb402c5a21ec045ffb7d761ebac1e0dd3?lang=pl&r=publication&tab=main,sggw,Profesor
Magdalena Wijata,dr inż.,adiunkt,Katedra Agronomii,NA,0000-0001-5086-7698,NA,NA,NA,6,6,19.652,4.908,NA,20,WULS6d08e29e532046aa9adeb79fcd320b4a,https://bw.sggw.edu.pl/info/author/WULS6d08e29e532046aa9adeb79fcd320b4a?lang=pl&r=publication&tab=main,sggw,Adiunkt
Marzena Wińska-Krysiak,dr hab.,profesor uczelni,Katedra Ochrony Roślin,NA,0000-0001-5403-5725,NA,NA,NA,8,9,67.69,20.159,NA,47,WULS08c0cedaa0844cdb879566a053857b28,https://bw.sggw.edu.pl/info/author/WULS08c0cedaa0844cdb879566a053857b28?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Marcin Wit,dr inż.,adiunkt,Katedra Ochrony Roślin,NA,0000-0002-5219-2185,NA,NA,NA,4,4,36.439,12.125,NA,34,WULS860778ab429148979774987923990184,https://bw.sggw.edu.pl/info/author/WULS860778ab429148979774987923990184?lang=pl&r=publication&tab=main,sggw,Adiunkt
Agnieszka Wnuk,dr inż.,adiunkt,Katedra Biometrii,NA,0000-0002-4105-9717,NA,NA,NA,6,6,23.542,12.635,NA,21,WULS273e645bc2164e36bdf2bde71fcf9c85,https://bw.sggw.edu.pl/info/author/WULS273e645bc2164e36bdf2bde71fcf9c85?lang=pl&r=publication&tab=main,sggw,Adiunkt
Elżbieta Wójcik-Gront,dr hab.,profesor uczelni,Katedra Biometrii,NA,0000-0002-7172-0529,NA,NA,NA,12,12,219.04,36.583,NA,90,WULSfd56132d671e436f930e374660756293,https://bw.sggw.edu.pl/info/author/WULSfd56132d671e436f930e374660756293?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Mariola Wrochna,dr inż.,adiunkt,Katedra Ochrony Roślin,NA,0000-0003-2516-7563,NA,NA,NA,9,9,31.873,12.316,NA,37,WULSf75fe64911c7471abfdb7140c962770d,https://bw.sggw.edu.pl/info/author/WULSf75fe64911c7471abfdb7140c962770d?lang=pl&r=publication&tab=main,sggw,Adiunkt
Dariusz Wrona,dr hab.,profesor uczelni,Katedra Sadownictwa i Ekonomiki Ogrodnictwa,NA,0000-0003-1232-3344,NA,NA,NA,5,8,57.847,18.974,NA,106,WULS1acd6ac819df4bc39bba78534f36b251,https://bw.sggw.edu.pl/info/author/WULS1acd6ac819df4bc39bba78534f36b251?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Zdzisław Wyszyński,prof. dr hab.,profesor,Katedra Agronomii,NA,0000-0002-2847-2857,NA,NA,NA,5,6,44.386,16.543,NA,69,WULS1b9ed7f844084f7292bd2a38f34fa3df,https://bw.sggw.edu.pl/info/author/WULS1b9ed7f844084f7292bd2a38f34fa3df?lang=pl&r=publication&tab=main,sggw,Profesor
Ewa Zaraś,dr hab. inż.,adiunkt,Katedra Ochrony Środowiska i Dendrologii,Wydziału Ogrodniczego Katedra Ochrony Środowiska i Dendrologii Instytut Nauk Ogrodniczych,0000-0003-2436-9665,NA,NA,NA,6,6,33.4,7.797,NA,99,WULSda9ffcac80ff4e659469ef24a61166bc,https://bw.sggw.edu.pl/info/author/WULSda9ffcac80ff4e659469ef24a61166bc?lang=pl&r=publication&tab=main,sggw,Adiunkt
Barbara Żarska,dr hab. inż.,profesor uczelni,Katedra Ochrony Środowiska i Dendrologii,NA,0000-0001-5341-1557,NA,NA,NA,4,4,33.056,6.726,NA,60,WULSb59fbcb0293340f7950de064038d963d,https://bw.sggw.edu.pl/info/author/WULSb59fbcb0293340f7950de064038d963d?lang=pl&r=publication&tab=main,sggw,Profesor Uczelni
Katarzyna Adamczewska-Sowińska,prof. dr hab. inż.,profesor,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0001-6020-3975,NA,NA,NA,13,11,67.491,27.994,2327,109,UPWr520c294c3cc94377af21b25c6390ae75,https://bazawiedzy.upwr.edu.pl/info/author/UPWr520c294c3cc94377af21b25c6390ae75?lang=pl&r=publication&tab=main,upwr,profesor
Przemysław Bąbelewski,prof. dr hab. inż.,profesor,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0002-6897-6662,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPWr22ece9e18ed04a4885927cf07e3f7240,https://bazawiedzy.upwr.edu.pl/info/author/UPWr22ece9e18ed04a4885927cf07e3f7240?lang=pl&r=publication&tab=main,upwr,profesor
Paulina Bączek,dr inż.,adiunkt,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0009-0000-6880-3983,NA,NA,NA,3,3,31.111,9.725,1053,29,UPWrd1b58e9c682a414ea18e38b03cade374,https://bazawiedzy.upwr.edu.pl/info/author/UPWrd1b58e9c682a414ea18e38b03cade374?lang=pl&r=publication&tab=main,upwr,adiunkt
Magdalena Bednik-Dudek,dr inż.,starszy technik,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-3209-9044,NA,NA,NA,9,10,68.681,20.65,1965,28,UPWr7dfe7130e578415eb652347e8fe96803,https://bazawiedzy.upwr.edu.pl/info/author/UPWr7dfe7130e578415eb652347e8fe96803?lang=pl&r=publication&tab=main,upwr,starszy technik
Jakub Bekier,dr hab. inż.,profesor uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0001-7793-8396,NA,NA,NA,10,10,68.201,25.574,2142,93,UPWr51b970e370f24b26aebc54dc5a9f7ed7,https://bazawiedzy.upwr.edu.pl/info/author/UPWr51b970e370f24b26aebc54dc5a9f7ed7?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Anita Biesiada,prof. dr hab. inż.,profesor,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0003-2354-5276,NA,NA,NA,17,18,53.5,26.113,1710,228,UPWr49bb9cf6194e484e9840fabf523aeaa2,https://bazawiedzy.upwr.edu.pl/info/author/UPWr49bb9cf6194e484e9840fabf523aeaa2?lang=pl&r=publication&tab=main,upwr,profesor
Adam Bogacz,prof. dr hab. inż.,profesor,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0001-5535-6934,NA,NA,NA,17,16,75.92,38.392,2601,162,UPWra51f1c132eb44e49a6d96e135b934e1a,https://bazawiedzy.upwr.edu.pl/info/author/UPWra51f1c132eb44e49a6d96e135b934e1a?lang=pl&r=publication&tab=main,upwr,profesor
Marek Brennensthul,dr inż.,adiunkt,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0003-4964-482X,NA,NA,NA,5,5,31.826,12.629,1288,141,UPWr2728dfc28bfb4c3c9cff8836f288a691,https://bazawiedzy.upwr.edu.pl/info/author/UPWr2728dfc28bfb4c3c9cff8836f288a691?lang=pl&r=publication&tab=main,upwr,adiunkt
Bogusława Bronowicka,mgr inż.,główny specjalista ds. farmy miejskiej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPWr940bc09a9e394693afaa073cbd1628b2,https://bazawiedzy.upwr.edu.pl/info/author/UPWr940bc09a9e394693afaa073cbd1628b2?lang=pl&r=publication&tab=main,upwr,główny specjalista ds. farmy miejskiej
Henryk Bujak,prof. dr hab. inż.,profesor,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0001-8095-2105,NA,NA,NA,11,11,138.144,47.354,4557,150,UPWr98c2c47307cd4510b664bc0ccb1885e4,https://bazawiedzy.upwr.edu.pl/info/author/UPWr98c2c47307cd4510b664bc0ccb1885e4?lang=pl&r=publication&tab=main,upwr,profesor
Piotr Chohura,dr inż.,adiunkt,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0003-1400-5702,NA,NA,NA,10,9,41.536,17.215,1542,388,UPWrdbf73eb453b74199a0a6f52ee3ab3c17,https://bazawiedzy.upwr.edu.pl/info/author/UPWrdbf73eb453b74199a0a6f52ee3ab3c17?lang=pl&r=publication&tab=main,upwr,adiunkt
Beata Cieniawska,dr inż.,adiunkt,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-3469-5344,NA,NA,NA,4,4,25.66,11.326,1451,82,UPWr39843b9204a54d7b840ac55151f641df,https://bazawiedzy.upwr.edu.pl/info/author/UPWr39843b9204a54d7b840ac55151f641df?lang=pl&r=publication&tab=main,upwr,adiunkt
Marta Czaplicka,dr inż.,adiunkt,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0001-6626-4568,NA,NA,NA,5,4,37.649,12.957,1636,179,UPWrc2174ef778514dcc870cec9024280790,https://bazawiedzy.upwr.edu.pl/info/author/UPWrc2174ef778514dcc870cec9024280790?lang=pl&r=publication&tab=main,upwr,adiunkt
Jarosław Czarnecki,dr hab. inż.,profesor uczelni,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0001-7086-1525,NA,NA,NA,5,5,22.726,10.751,1190,143,UPWrf8458a9fc38b44d29436c5fe2ed96758,https://bazawiedzy.upwr.edu.pl/info/author/UPWrf8458a9fc38b44d29436c5fe2ed96758?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Marta Czarniecka-Wiera,dr,adiunkt,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0003-3294-5853,NA,NA,NA,8,8,46.037,13.743,1507,20,UPWR07db76aee2144ba9a7c9508b896c6029,https://bazawiedzy.upwr.edu.pl/info/author/UPWR07db76aee2144ba9a7c9508b896c6029?lang=pl&r=publication&tab=main,upwr,adiunkt
Irmina Ćwieląg-Piasecka,dr hab.,profesor uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-1439-0295,NA,NA,NA,14,14,151.32,39.394,3385,139,UPWr72fc2b157ebe44358b44ddc888b2480a,https://bazawiedzy.upwr.edu.pl/info/author/UPWr72fc2b157ebe44358b44ddc888b2480a?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Magdalena Dębicka,dr hab.,profesor uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-4659-5380,NA,NA,NA,10,10,76.722,28.001,2205,115,UPWr5b283d1a26954ae689afa44ddb29b89b,https://bazawiedzy.upwr.edu.pl/info/author/UPWr5b283d1a26954ae689afa44ddb29b89b?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Agnieszka Dradrach,prof. dr hab. inż.,profesor,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0001-5406-9685,NA,NA,NA,11,11,84.42,31.22,2559,132,UPWr8f572debb4d74e9b8b1c5ea2adf10f0e,https://bazawiedzy.upwr.edu.pl/info/author/UPWr8f572debb4d74e9b8b1c5ea2adf10f0e?lang=pl&r=publication&tab=main,upwr,profesor
Adam Figiel,prof. dr hab. inż.,profesor,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-3443-1269,NA,NA,NA,40,38,321.521,129.018,7606,267,UPWree0b8b35b4de42a7927b86affce451ad,https://bazawiedzy.upwr.edu.pl/info/author/UPWree0b8b35b4de42a7927b86affce451ad?lang=pl&r=publication&tab=main,upwr,profesor
Renata Galek,dr hab. inż.,profesor uczelni,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0002-0102-1335,NA,NA,NA,10,10,95.229,30.731,2956,242,UPWr3d9aacd86ba84a49b0f8b6db7db6f258,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3d9aacd86ba84a49b0f8b6db7db6f258?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Bernard Gałka,prof. dr hab. inż.,profesor,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-4555-9460,NA,NA,NA,19,17,161.576,63.054,4785,270,UPWr3c874d513c9d4cf5863acdb38a5ee98a,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3c874d513c9d4cf5863acdb38a5ee98a?lang=pl&r=publication&tab=main,upwr,profesor
Krzysztof Gediga,dr inż.,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-0797-4863,NA,NA,NA,9,9,36.684,14.138,1024,79,UPWrde796810c5be48438ebbfdc302e7fce3,https://bazawiedzy.upwr.edu.pl/info/author/UPWrde796810c5be48438ebbfdc302e7fce3?lang=pl&r=publication&tab=main,upwr,adiunkt
Elżbieta Gębarowska,dr inż.,adiunkt,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-7856-9331,NA,NA,NA,9,8,66.008,21.555,2259,55,UPWrd2b4b174c0d74ab4b393ab5b226acc88,https://bazawiedzy.upwr.edu.pl/info/author/UPWrd2b4b174c0d74ab4b393ab5b226acc88?lang=pl&r=publication&tab=main,upwr,adiunkt
Jolanta Górecka,mgr inż.,starszy specjalista kierujący zespołem,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPWr7af1d3e443ba49f5a32fe52c270b20df,https://bazawiedzy.upwr.edu.pl/info/author/UPWr7af1d3e443ba49f5a32fe52c270b20df?lang=pl&r=publication&tab=main,upwr,starszy specjalista kierujący zespołem
Iwona Gruss,dr hab.,profesor uczelni,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-3562-5962,NA,NA,NA,9,9,123.295,43.318,3835,73,UPWr52de048f59f449d48f18e0f1e6eb8ce9,https://bazawiedzy.upwr.edu.pl/info/author/UPWr52de048f59f449d48f18e0f1e6eb8ce9?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Dariusz Gruszka,dr inż.,starszy technik,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,NA,NA,NA,NA,5,5,37.382,12.224,1080,27,UPWr33f5e9da9b794e24ab38ec9dd1fc2624,https://bazawiedzy.upwr.edu.pl/info/author/UPWr33f5e9da9b794e24ab38ec9dd1fc2624?lang=pl&r=publication&tab=main,upwr,starszy technik
Ewelina Gudarowska,dr inż.,adiunkt,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0003-4494-7549,NA,NA,NA,4,4,8.866,5.882,827,681,UPWrb1fdadd98c544369be7577cf54847b3d,https://bazawiedzy.upwr.edu.pl/info/author/UPWrb1fdadd98c544369be7577cf54847b3d?lang=pl&r=publication&tab=main,upwr,adiunkt
Aleksandra Halarewicz,prof. dr hab. inż.,profesor,Katedra Botaniki i Ekologii Roślin,Wydział Przyrodniczo-Technologiczny,0000-0001-5756-4462,NA,NA,NA,8,9,45.1,20.309,1486,108,UPWr9140757de3e84e7dae5172520abb03a6,https://bazawiedzy.upwr.edu.pl/info/author/UPWr9140757de3e84e7dae5172520abb03a6?lang=pl&r=publication&tab=main,upwr,profesor
Waldemar Helios,dr hab. inż.,profesor uczelni,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0001-8179-2916,NA,NA,NA,7,7,51.575,17.869,1924,55,UPWr64ae1fdb56774e13b942fbe6d848ab83,https://bazawiedzy.upwr.edu.pl/info/author/UPWr64ae1fdb56774e13b942fbe6d848ab83?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Anna Jama-Rodzeńska,dr hab. inż.,profesor uczelni,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0003-4864-7367,NA,NA,NA,11,11,119.312,39.925,4028,105,UPWr1485b8def0c44b76b116350f352666de,https://bazawiedzy.upwr.edu.pl/info/author/UPWr1485b8def0c44b76b116350f352666de?lang=pl&r=publication&tab=main,upwr,profesor Uczelni
Elżbieta Jamroz,prof. dr hab. inż.,profesor,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-0130-181X,NA,NA,NA,14,13,122.427,45.626,3799,224,UPWrff1cfbc9cb68405b8c59ee2da687abc5,https://bazawiedzy.upwr.edu.pl/info/author/UPWrff1cfbc9cb68405b8c59ee2da687abc5?lang=pl&r=publication&tab=main,upwr,profesor
Paweł Jezierski,dr inż.,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-7765-741X,NA,NA,NA,11,12,36.766,19.021,1197,114,UPWr792b34a7ea9248fe983312c2e80d8d96,https://bazawiedzy.upwr.edu.pl/info/author/UPWr792b34a7ea9248fe983312c2e80d8d96?lang=pl&r=publication&tab=main,upwr,adiunkt
Marta Jurga-Zotow,dr inż.,adiunkt,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-4855-0066,NA,NA,NA,4,3,14.318,5.826,685,56,UPWr462109a45996410e9701355e018b924d,https://bazawiedzy.upwr.edu.pl/info/author/UPWr462109a45996410e9701355e018b924d?lang=pl&r=publication&tab=main,upwr,adiunkt
Monika Jurzak,mgr inż.,kierownik stacji badawczo - dydaktycznej,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,NA,NA,NA,NA,NA,NA,2.5,0.956,100,11,UPWRd08023f298a243ec8ddfbf004720bda0,https://bazawiedzy.upwr.edu.pl/info/author/UPWRd08023f298a243ec8ddfbf004720bda0?lang=pl&r=publication&tab=main,upwr,kierownik stacji badawczo - dydaktycznej
