profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,uczelnia,stanowisko_raw,if_per_pub,mein_per_pub,if_to_mein,n_pub_oa,mean_fwci,avg_authors_per_pub,h_index_oa,cited_total,n_unique_coauthors,fwci_top10_pct,kategoria
Marta Czarniecka-Wiera,dr,adiunkt,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0003-3294-5853,NA,NA,NA,8,8,46.037,13.743,1507,20,UPWR07db76aee2144ba9a7c9508b896c6029,https://bazawiedzy.upwr.edu.pl/info/author/UPWR07db76aee2144ba9a7c9508b896c6029?lang=pl&r=publication&tab=main,upwr,adiunkt,2.30185,75.35,0.030548772395487724,13,6.432881818181818,23.384615384615383,7,269,196,TRUE,A
Irmina Ćwieląg-Piasecka,dr hab.,profesor uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-1439-0295,NA,NA,NA,14,14,151.32,39.394,3385,139,UPWr72fc2b157ebe44358b44ddc888b2480a,https://bazawiedzy.upwr.edu.pl/info/author/UPWr72fc2b157ebe44358b44ddc888b2480a?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,1.0886330935251798,24.35251798561151,0.044703101920236334,1,0,13,0,0,12,FALSE,A
Magdalena Dębicka,dr hab.,profesor uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-4659-5380,NA,NA,NA,10,10,76.722,28.001,2205,115,UPWr5b283d1a26954ae689afa44ddb29b89b,https://bazawiedzy.upwr.edu.pl/info/author/UPWr5b283d1a26954ae689afa44ddb29b89b?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,0.6671478260869564,19.17391304347826,0.03479455782312925,42,1.27175,7.476190476190476,11,559,57,FALSE,A
Agnieszka Dradrach,prof. dr hab. inż.,profesor,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0001-5406-9685,NA,NA,NA,11,11,84.42,31.22,2559,132,UPWr8f572debb4d74e9b8b1c5ea2adf10f0e,https://bazawiedzy.upwr.edu.pl/info/author/UPWr8f572debb4d74e9b8b1c5ea2adf10f0e?lang=pl&r=publication&tab=main,upwr,profesor,0.6395454545454545,19.386363636363637,0.032989449003516996,NA,NA,NA,NA,NA,NA,NA,A
Adam Figiel,prof. dr hab. inż.,profesor,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-3443-1269,NA,NA,NA,40,38,321.521,129.018,7606,267,UPWree0b8b35b4de42a7927b86affce451ad,https://bazawiedzy.upwr.edu.pl/info/author/UPWree0b8b35b4de42a7927b86affce451ad?lang=pl&r=publication&tab=main,upwr,profesor,1.2041985018726593,28.48689138576779,0.042272022087825406,161,3.7523898734177217,5.012422360248447,43,6455,270,TRUE,A
Renata Galek,dr hab. inż.,profesor uczelni,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0002-0102-1335,NA,NA,NA,10,10,95.229,30.731,2956,242,UPWr3d9aacd86ba84a49b0f8b6db7db6f258,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3d9aacd86ba84a49b0f8b6db7db6f258?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,0.3935082644628099,12.214876033057852,0.03221549391069012,73,1.2077513888888889,4.47945205479452,10,391,104,FALSE,A
Bernard Gałka,prof. dr hab. inż.,profesor,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-4555-9460,NA,NA,NA,19,17,161.576,63.054,4785,270,UPWr3c874d513c9d4cf5863acdb38a5ee98a,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3c874d513c9d4cf5863acdb38a5ee98a?lang=pl&r=publication&tab=main,upwr,profesor,0.5984296296296296,17.72222222222222,0.03376718913270637,91,1.4790730337078652,4.7032967032967035,19,991,135,FALSE,A
Krzysztof Gediga,dr inż.,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-0797-4863,NA,NA,NA,9,9,36.684,14.138,1024,79,UPWrde796810c5be48438ebbfdc302e7fce3,https://bazawiedzy.upwr.edu.pl/info/author/UPWrde796810c5be48438ebbfdc302e7fce3?lang=pl&r=publication&tab=main,upwr,adiunkt,0.46435443037974683,12.962025316455696,0.03582421875,29,1.970096551724138,3.4827586206896552,8,440,44,FALSE,A
Elżbieta Gębarowska,dr inż.,adiunkt,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-7856-9331,NA,NA,NA,9,8,66.008,21.555,2259,55,UPWrd2b4b174c0d74ab4b393ab5b226acc88,https://bazawiedzy.upwr.edu.pl/info/author/UPWrd2b4b174c0d74ab4b393ab5b226acc88?lang=pl&r=publication&tab=main,upwr,adiunkt,1.2001454545454544,41.07272727272727,0.029220008853474987,70,0.7514561403508772,7.4714285714285715,13,592,186,FALSE,A
Jolanta Górecka,mgr inż.,NA,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPWr7af1d3e443ba49f5a32fe52c270b20df,https://bazawiedzy.upwr.edu.pl/info/author/UPWr7af1d3e443ba49f5a32fe52c270b20df?lang=pl&r=publication&tab=main,upwr,starszy specjalista kierujący zespołem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A
Iwona Gruss,dr hab.,profesor uczelni,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-3562-5962,NA,NA,NA,9,9,123.295,43.318,3835,73,UPWr52de048f59f449d48f18e0f1e6eb8ce9,https://bazawiedzy.upwr.edu.pl/info/author/UPWr52de048f59f449d48f18e0f1e6eb8ce9?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,1.688972602739726,52.534246575342465,0.03214993481095176,56,1.5549320754716982,4.678571428571429,12,469,79,FALSE,A
Dariusz Gruszka,dr inż.,NA,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,NA,NA,NA,NA,5,5,37.382,12.224,1080,27,UPWr33f5e9da9b794e24ab38ec9dd1fc2624,https://bazawiedzy.upwr.edu.pl/info/author/UPWr33f5e9da9b794e24ab38ec9dd1fc2624?lang=pl&r=publication&tab=main,upwr,starszy technik,1.3845185185185185,40,0.03461296296296296,14,1.0060461538461538,5.142857142857143,5,84,29,FALSE,A
Ewelina Gudarowska,dr inż.,adiunkt,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0003-4494-7549,NA,NA,NA,4,4,8.866,5.882,827,681,UPWrb1fdadd98c544369be7577cf54847b3d,https://bazawiedzy.upwr.edu.pl/info/author/UPWrb1fdadd98c544369be7577cf54847b3d?lang=pl&r=publication&tab=main,upwr,adiunkt,0.013019089574155653,1.2143906020558002,0.01072067714631197,75,0.18869733333333333,2.453333333333333,7,158,35,FALSE,A
Aleksandra Halarewicz,prof. dr hab. inż.,profesor,Katedra Botaniki i Ekologii Roślin,Wydział Przyrodniczo-Technologiczny,0000-0001-5756-4462,NA,NA,NA,8,9,45.1,20.309,1486,108,UPWr9140757de3e84e7dae5172520abb03a6,https://bazawiedzy.upwr.edu.pl/info/author/UPWr9140757de3e84e7dae5172520abb03a6?lang=pl&r=publication&tab=main,upwr,profesor,0.4175925925925926,13.75925925925926,0.03034993270524899,50,0.7093591836734694,2.76,10,325,36,FALSE,A
Waldemar Helios,dr hab. inż.,profesor uczelni,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0001-8179-2916,NA,NA,NA,7,7,51.575,17.869,1924,55,UPWr64ae1fdb56774e13b942fbe6d848ab83,https://bazawiedzy.upwr.edu.pl/info/author/UPWr64ae1fdb56774e13b942fbe6d848ab83?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,0.9377272727272727,34.981818181818184,0.026806133056133056,35,2.384560606060606,5.314285714285714,7,329,78,FALSE,A
Anna Jama-Rodzeńska,dr hab. inż.,profesor uczelni,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0003-4864-7367,NA,NA,NA,11,11,119.312,39.925,4028,105,UPWr1485b8def0c44b76b116350f352666de,https://bazawiedzy.upwr.edu.pl/info/author/UPWr1485b8def0c44b76b116350f352666de?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,1.136304761904762,38.36190476190476,0.029620655412115192,58,1.3899207547169812,5.017241379310345,11,379,84,FALSE,A
Elżbieta Jamroz,prof. dr hab. inż.,profesor,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-0130-181X,NA,NA,NA,14,13,122.427,45.626,3799,224,UPWrff1cfbc9cb68405b8c59ee2da687abc5,https://bazawiedzy.upwr.edu.pl/info/author/UPWrff1cfbc9cb68405b8c59ee2da687abc5?lang=pl&r=publication&tab=main,upwr,profesor,0.5465491071428572,16.959821428571427,0.03222611213477231,67,1.3305530303030304,6.223880597014926,16,1199,68,FALSE,A
Paweł Jezierski,dr inż.,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-7765-741X,NA,NA,NA,11,12,36.766,19.021,1197,114,UPWr792b34a7ea9248fe983312c2e80d8d96,https://bazawiedzy.upwr.edu.pl/info/author/UPWr792b34a7ea9248fe983312c2e80d8d96?lang=pl&r=publication&tab=main,upwr,adiunkt,0.3225087719298245,10.5,0.030715121136173765,52,1.6397962018,5.538461538461538,12,458,120,FALSE,A
Marta Jurga-Zotow,dr inż.,adiunkt,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-4855-0066,NA,NA,NA,4,3,14.318,5.826,685,56,UPWr462109a45996410e9701355e018b924d,https://bazawiedzy.upwr.edu.pl/info/author/UPWr462109a45996410e9701355e018b924d?lang=pl&r=publication&tab=main,upwr,adiunkt,0.2556785714285714,12.232142857142858,0.020902189781021898,10,0.826575,6.4,4,34,47,FALSE,A
Monika Jurzak,mgr inż.,NA,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,NA,NA,NA,NA,NA,NA,2.5,0.956,100,11,UPWRd08023f298a243ec8ddfbf004720bda0,https://bazawiedzy.upwr.edu.pl/info/author/UPWRd08023f298a243ec8ddfbf004720bda0?lang=pl&r=publication&tab=main,upwr,kierownik stacji badawczo - dydaktycznej,0.22727272727272727,9.090909090909092,0.025,1,0,12,0,0,11,FALSE,A
Cezary Kabała,prof. dr hab. inż.,profesor,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0001-9796-3716,NA,NA,NA,31,31,221.701,110.351,6915,306,UPWr6dbdc7326bc44233b7889163e9913a13,https://bazawiedzy.upwr.edu.pl/info/author/UPWr6dbdc7326bc44233b7889163e9913a13?lang=pl&r=publication&tab=main,upwr,profesor,0.7245130718954248,22.598039215686274,0.03206088214027476,184,2.798582572681564,5.461956521739131,32,3942,409,TRUE,A
Waldemar Kamaj,NA,NA,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPWr971cd134a9964c38a2155c9d2d414190,https://bazawiedzy.upwr.edu.pl/info/author/UPWr971cd134a9964c38a2155c9d2d414190?lang=pl&r=publication&tab=main,upwr,laborant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A
Anna Karczewska,prof. dr hab. inż.,profesor,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-1457-1368,NA,NA,NA,24,23,140.831,61.891,3672,296,UPWr78599776ae6844018c22307835928c76,https://bazawiedzy.upwr.edu.pl/info/author/UPWr78599776ae6844018c22307835928c76?lang=pl&r=publication&tab=main,upwr,profesor,0.4757804054054054,12.405405405405405,0.0383526688453159,154,1.3748695945945946,4.584415584415584,26,2165,280,FALSE,A
Dorota Kawałko,dr hab. inż.,profesor uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-8339-648X,NA,NA,NA,9,9,63.19,27.794,2234,177,UPWre49a6b0e5b3b4e7693dd135b88d603ae,https://bazawiedzy.upwr.edu.pl/info/author/UPWre49a6b0e5b3b4e7693dd135b88d603ae?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,0.3570056497175141,12.621468926553673,0.028285586392121753,64,0.5229274193548387,3.265625,9,330,67,FALSE,A
Andrzej Kocowicz,dr inż.,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-0958-3543,NA,NA,NA,10,10,72.289,27.915,2044,142,UPWra4d3d104943c48e89c938f80be92194d,https://bazawiedzy.upwr.edu.pl/info/author/UPWra4d3d104943c48e89c938f80be92194d?lang=pl&r=publication&tab=main,upwr,adiunkt,0.5090774647887324,14.394366197183098,0.03536643835616438,44,1.232853488372093,7.659090909090909,11,825,67,FALSE,A
Piotr Komarnicki,dr hab. inż.,profesor uczelni,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-3930-9502,NA,NA,NA,12,11,63.468,32.012,1937,69,UPWrbdf1d5568c3f4aa4b0eeb3a375caa3c6,https://bazawiedzy.upwr.edu.pl/info/author/UPWrbdf1d5568c3f4aa4b0eeb3a375caa3c6?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,0.9198260869565218,28.07246376811594,0.0327661331956634,3,0,4.333333333333333,0,0,9,FALSE,A
Kamil Kostyn,dr,adiunkt,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0003-3485-0938,NA,NA,NA,16,16,105.179,39.942,2129,51,UPWrdd797a5df73144e2a23d7b5e6e9015e9,https://bazawiedzy.upwr.edu.pl/info/author/UPWrdd797a5df73144e2a23d7b5e6e9015e9?lang=pl&r=publication&tab=main,upwr,adiunkt,2.0623333333333336,41.745098039215684,0.04940300610615313,46,1.8963044444444443,6.608695652173913,18,2105,78,FALSE,A
Bogna Kosyk,dr inż.,NA,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-4016-0503,NA,NA,NA,3,3,13.72,3.616,420,6,UPWr1090aeda1bb94fd18b363acddf7a014b,https://bazawiedzy.upwr.edu.pl/info/author/UPWr1090aeda1bb94fd18b363acddf7a014b?lang=pl&r=publication&tab=main,upwr,główny specjalista,2.2866666666666666,70,0.03266666666666667,4,1.0786,7,3,58,19,FALSE,A
Anna Koszelnik-Leszek,dr inż.,adiunkt,Katedra Botaniki i Ekologii Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-5929-9372,NA,NA,NA,5,4,18.652,9.384,1028,70,UPWr752e020e13c9452ea228d3705b04a762,https://bazawiedzy.upwr.edu.pl/info/author/UPWr752e020e13c9452ea228d3705b04a762?lang=pl&r=publication&tab=main,upwr,adiunkt,0.2664571428571429,14.685714285714285,0.01814396887159533,30,0.6161566666666667,2.6333333333333333,5,117,32,FALSE,A
Joanna Kowalska,dr inż.,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-4086-5696,NA,NA,NA,11,12,71.442,27.285,1862,27,UPWr026bf5e53b2841c18c4957a5d2852761,https://bazawiedzy.upwr.edu.pl/info/author/UPWr026bf5e53b2841c18c4957a5d2852761?lang=pl&r=publication&tab=main,upwr,adiunkt,2.646,68.96296296296296,0.03836842105263157,172,1.4377933535099339,7.866279069767442,34,3498,351,FALSE,A
Bartosz Kozak,dr inż.,adiunkt,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0001-6472-3273,NA,NA,NA,12,12,101.818,34.286,2841,98,UPWr2d626d1caad44522af72cc6e6bba8ff4,https://bazawiedzy.upwr.edu.pl/info/author/UPWr2d626d1caad44522af72cc6e6bba8ff4?lang=pl&r=publication&tab=main,upwr,adiunkt,1.0389591836734693,28.989795918367346,0.03583878915874692,45,2.9185772727272727,5.7555555555555555,15,561,130,TRUE,A
Marcin Kozak,prof. dr hab. inż.,profesor,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0003-0715-6844,NA,NA,NA,12,10,92.291,33.662,4055,181,UPWr613908909420433ea818a45f46bb14dc,https://bazawiedzy.upwr.edu.pl/info/author/UPWr613908909420433ea818a45f46bb14dc?lang=pl&r=publication&tab=main,upwr,profesor,0.5098950276243094,22.403314917127073,0.02275980271270037,NA,NA,NA,NA,NA,NA,NA,A
Magdalena Kręcisz,dr inż.,adiunkt,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0001-5518-3906,NA,NA,NA,5,8,53.3,16.596,1732,25,UPWre07ae282563d4e45a679b70eee9a6f6c,https://bazawiedzy.upwr.edu.pl/info/author/UPWre07ae282563d4e45a679b70eee9a6f6c?lang=pl&r=publication&tab=main,upwr,adiunkt,2.1319999999999997,69.28,0.03077367205542725,29,0.8621740740740741,5.827586206896552,8,220,57,FALSE,A
Jan Krężel,dr inż.,adiunkt,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0002-6582-5535,NA,NA,NA,3,3,8.44,3.409,466,39,UPWr3a4f60d7b84f4143a3ca26a8ed034e31,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3a4f60d7b84f4143a3ca26a8ed034e31?lang=pl&r=publication&tab=main,upwr,adiunkt,0.2164102564102564,11.948717948717949,0.018111587982832616,17,0.26324117647058826,3.823529411764706,5,55,29,FALSE,A
Mateusz Krupski,dr,adiunkt,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0001-7992-967X,NA,NA,NA,6,5,28.045,12.226,1405,15,UPWrc29c25e7df06493083f806298a9f8441,https://bazawiedzy.upwr.edu.pl/info/author/UPWrc29c25e7df06493083f806298a9f8441?lang=pl&r=publication&tab=main,upwr,adiunkt,1.8696666666666668,93.66666666666667,0.01996085409252669,14,6.538575,5.285714285714286,6,164,38,TRUE,A
Aleksander Krzyś,dr inż.,adiunkt,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0001-6362-9015,NA,NA,NA,1,1,7.077,2.159,1169,91,UPWrdc45c1f5d1784661a607951b32c5031a,https://bazawiedzy.upwr.edu.pl/info/author/UPWrdc45c1f5d1784661a607951b32c5031a?lang=pl&r=publication&tab=main,upwr,adiunkt,0.07776923076923077,12.846153846153847,0.006053892215568862,NA,NA,NA,NA,NA,NA,NA,A
Zofia Kubińska,NA,NA,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,NA,NA,NA,NA,1,1,3.7,1.14,140,1,UPWr1dde91ea757949ee938c47e33534da08,https://bazawiedzy.upwr.edu.pl/info/author/UPWr1dde91ea757949ee938c47e33534da08?lang=pl&r=publication&tab=main,upwr,laborant,3.7,140,0.02642857142857143,45,0.6786044444444445,3.022222222222222,6,125,33,FALSE,A
Piotr Kuc,dr inż.,adiunkt,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0002-0258-9977,NA,NA,NA,4,4,14.798,5.15,689,40,UPWr9bbe3b4cb417470d994beecaad2e133f,https://bazawiedzy.upwr.edu.pl/info/author/UPWr9bbe3b4cb417470d994beecaad2e133f?lang=pl&r=publication&tab=main,upwr,adiunkt,0.36995,17.225,0.021477503628447026,50,0.2088787234042553,3.16,4,51,55,FALSE,A
Grzegorz Kulczycki,dr hab. inż.,profesor uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-3411-6661,NA,NA,NA,9,9,77.37,22.953,2102,127,UPWrd4f55f16c2c5421d9c5ce5e6d17345b7,https://bazawiedzy.upwr.edu.pl/info/author/UPWrd4f55f16c2c5421d9c5ce5e6d17345b7?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,0.6092125984251969,16.551181102362204,0.03680780209324453,45,1.1467933333333333,3.311111111111111,8,227,52,FALSE,A
Krzysztof Lech,prof. dr hab. inż.,profesor,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-6540-5274,NA,NA,NA,31,31,219.49,82.735,5038,141,UPWr7cc3e4a9190645b7b2a2ff928878258c,https://bazawiedzy.upwr.edu.pl/info/author/UPWr7cc3e4a9190645b7b2a2ff928878258c?lang=pl&r=publication&tab=main,upwr,profesor,1.5566666666666666,35.730496453900706,0.04356689162366018,78,3.8024932432432434,6,31,2981,162,TRUE,A
Anna Lehmann-Skoczylas,dr inż.,adiunkt,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0001-5267-1939,NA,NA,NA,1,1,1.225,1.064,143,63,UPWr97424464a6f146b08363a4f7084c65ea,https://bazawiedzy.upwr.edu.pl/info/author/UPWr97424464a6f146b08363a4f7084c65ea?lang=pl&r=publication&tab=main,upwr,adiunkt,0.019444444444444445,2.2698412698412698,0.008566433566433567,NA,NA,NA,NA,NA,NA,NA,A
Agnieszka Lejman,dr inż.,adiunkt,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0002-3885-3725,NA,NA,NA,7,6,28.171,13.839,844,71,UPWrb9758404ca594e0fa7f5e75dbe043932,https://bazawiedzy.upwr.edu.pl/info/author/UPWrb9758404ca594e0fa7f5e75dbe043932?lang=pl&r=publication&tab=main,upwr,adiunkt,0.3967746478873239,11.887323943661972,0.033377962085308056,26,1.1771461538461538,3.3846153846153846,8,263,27,FALSE,A
Krzysztof Lejman,dr hab. inż.,profesor uczelni,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-7223-6595,NA,NA,NA,4,3,18.833,6.268,1170,115,UPWr4ee124ce52124b39b5fb3d27bbf09923,https://bazawiedzy.upwr.edu.pl/info/author/UPWr4ee124ce52124b39b5fb3d27bbf09923?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,0.16376521739130434,10.173913043478262,0.016096581196581194,NA,NA,NA,NA,NA,NA,NA,A
Sylwia Lewandowska,dr hab. inż.,profesor uczelni,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0001-8576-4357,NA,NA,NA,9,9,60.814,23.825,2280,76,UPWr51adaaa2352649068c09331a4c4ef8a0,https://bazawiedzy.upwr.edu.pl/info/author/UPWr51adaaa2352649068c09331a4c4ef8a0?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,0.8001842105263158,30,0.02667280701754386,34,1.7548451612903226,5.176470588235294,10,279,72,FALSE,A
Maria Licznar-Małańczuk,dr hab. inż.,profesor uczelni,Katedra Ogrodnictwa,Wydział Przyrodniczo-Technologiczny,0000-0003-0996-2049,NA,NA,NA,9,8,32.4,17.031,1387,185,UPWr7a257655cee941eca51e35da30222716,https://bazawiedzy.upwr.edu.pl/info/author/UPWr7a257655cee941eca51e35da30222716?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,0.17513513513513512,7.4972972972972975,0.023359769286229272,NA,NA,NA,NA,NA,NA,NA,A
Marek Liszewski,dr hab. inż.,profesor uczelni,Instytut Agroekologii i Produkcji Roślinnej,Wydział Przyrodniczo-Technologiczny,0000-0002-3703-3119,NA,NA,NA,5,5,29.475,10.99,1254,257,UPWr55ce5526c70348eba59b1d528180c886,https://bazawiedzy.upwr.edu.pl/info/author/UPWr55ce5526c70348eba59b1d528180c886?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,0.1146887159533074,4.879377431906615,0.023504784688995216,NA,NA,NA,NA,NA,NA,NA,A
Beata Łabaz,dr hab. inż.,profesor uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0003-0957-015X,NA,NA,NA,19,19,97.555,47.152,3307,172,UPWr1e8b1e9b5e3d484e96893baea3547b54,https://bazawiedzy.upwr.edu.pl/info/author/UPWr1e8b1e9b5e3d484e96893baea3547b54?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,0.5671802325581395,19.226744186046513,0.029499546416691867,73,2.8383881488571427,5.561643835616438,19,1140,157,TRUE,A
Elżbieta Magnucka,dr,adiunkt,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0001-5439-4795,NA,NA,NA,8,8,39.232,17.205,1049,28,UPWread642657b874d7da872aa1a7d326a53,https://bazawiedzy.upwr.edu.pl/info/author/UPWread642657b874d7da872aa1a7d326a53?lang=pl&r=publication&tab=main,upwr,adiunkt,1.401142857142857,37.464285714285715,0.037399428026692084,21,0.9720333333333333,4.0476190476190474,8,235,21,FALSE,A
Klaudia Masztalerz,dr inż.,adiunkt,Instytut Inżynierii Rolniczej,Wydział Przyrodniczo-Technologiczny,0000-0002-1186-2891,NA,NA,NA,11,11,123.666,33.176,2906,50,UPWre7e0860cb8ba41f9bbdb18d6b2e9870f,https://bazawiedzy.upwr.edu.pl/info/author/UPWre7e0860cb8ba41f9bbdb18d6b2e9870f?lang=pl&r=publication&tab=main,upwr,adiunkt,2.4733199999999997,58.12,0.04255540261527873,35,3.3608758620689656,7.114285714285714,12,779,120,TRUE,A
Krzysztof Matkowski,dr hab. inż.,profesor uczelni,Katedra Ochrony Roślin,Wydział Przyrodniczo-Technologiczny,0000-0002-8832-3765,NA,NA,NA,7,5,18.466,9.113,696,123,UPWr3233e1f9830e4cee9e175eb5f4d11fda,https://bazawiedzy.upwr.edu.pl/info/author/UPWr3233e1f9830e4cee9e175eb5f4d11fda?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,0.150130081300813,5.658536585365853,0.0265316091954023,NA,NA,NA,NA,NA,NA,NA,A
Agnieszka Medyńska-Juraszek,dr hab. inż.,profesor uczelni,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska",Wydział Przyrodniczo-Technologiczny,0000-0002-9891-2600,NA,NA,NA,21,20,105.957,39.181,3457,149,UPWrb9f6b3165ca644198a581291d02c6b36,https://bazawiedzy.upwr.edu.pl/info/author/UPWrb9f6b3165ca644198a581291d02c6b36?lang=pl&r=publication&tab=main,upwr,profesor Uczelni,0.7111208053691275,23.201342281879196,0.03064998553659242,49,1.9646777777777777,4.448979591836735,21,1161,90,FALSE,A
Kamila Nowosad,prof. dr hab. inż.,profesor,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa",Wydział Przyrodniczo-Technologiczny,0000-0001-6837-7806,NA,NA,NA,17,17,117.62,56.8,4486,152,UPWr60ed5ccd95364870838b47fdd2605c01,https://bazawiedzy.upwr.edu.pl/info/author/UPWr60ed5ccd95364870838b47fdd2605c01?lang=pl&r=publication&tab=main,upwr,profesor,0.7738157894736842,29.513157894736842,0.026219349086045476,91,1.985491111111111,4.791208791208791,19,1005,132,FALSE,A
